id	time	src_name	src_addr	src_port	dst_name	dst_addr	dst_port	type
234525523	1492089271101	sparkDriver	172.16.181.46	46507	driverPropsFetcher	172.16.181.82	59482	true
234525524	1492089271173	sparkDriver	172.16.181.46	46507	driverPropsFetcher	172.16.181.82	59482	SparkAppConfig(ArrayBuffer((spark.master.ui.port,5010), (spark.app.name,Spark shell), (spark.sql.catalogImplementation,hive), (spark.repl.class.uri,spark://172.16.181.46:46507/classes), (spark.driver.host,172.16.181.46), (spark.jars,), (spark.home,/home/dev-user/spark-tracing), (spark.driver.port,46507), (spark.executor.id,driver), (spark.submit.deployMode,client), (spark.worker.ui.port,5010), (spark.master,spark://dynalloc1.fyre.ibm.com:7077), (spark.repl.class.outputDir,/tmp/spark-44b86817-bd34-4fe3-bfe2-68bf5f2cd473/repl-06250858-ba07-4a4f-98e0-2fa454c0f4a2)),None)
234525525	1492089271353	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	true
234525526	1492089271431	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	true
234525529	1492089271632	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	true
234525530	1492089271669	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	true
1888426101	1492089271737	sparkWorker	172.16.181.82	37555	sparkExecutor	172.16.181.82	55634	true
234525532	1492089271728	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),RegisteredExecutor)
234525533	1492089271833	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	true
234525534	1492089271906	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	BlockManagerId(0, 172.16.181.82, 45351, None)
234525536	1492089271928	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	true
234525561	1492089285622	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@27d22a1c))
234525562	1492089285622	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@7f0a439))
234525563	1492089285623	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@6081d3e8))
234525564	1492089285623	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@67d964f7))
234525565	1492089285623	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.181.82	59484	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@516d30da))
