id	time	src_name	src_addr	src_port	dst_name	dst_addr	dst_port	type
234525543	1492089272991	sparkDriver	172.16.181.46	46507	driverPropsFetcher	172.16.189.65	54568	true
234525544	1492089273034	sparkDriver	172.16.181.46	46507	driverPropsFetcher	172.16.189.65	54568	SparkAppConfig(ArrayBuffer((spark.master.ui.port,5010), (spark.app.name,Spark shell), (spark.sql.catalogImplementation,hive), (spark.repl.class.uri,spark://172.16.181.46:46507/classes), (spark.driver.host,172.16.181.46), (spark.jars,), (spark.home,/home/dev-user/spark-tracing), (spark.driver.port,46507), (spark.executor.id,driver), (spark.submit.deployMode,client), (spark.worker.ui.port,5010), (spark.master,spark://dynalloc1.fyre.ibm.com:7077), (spark.repl.class.outputDir,/tmp/spark-44b86817-bd34-4fe3-bfe2-68bf5f2cd473/repl-06250858-ba07-4a4f-98e0-2fa454c0f4a2)),None)
234525545	1492089273192	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	true
234525546	1492089273267	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	true
234525547	1492089273482	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	true
234525548	1492089273515	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	true
234525549	1492089273543	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),RegisteredExecutor)
234525550	1492089273543	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	true
2487189800	1492089273567	sparkWorker	172.16.189.65	34002	sparkExecutor	172.16.189.65	57044	true
234525551	1492089273634	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	BlockManagerId(2, 172.16.189.65, 41539, None)
234525552	1492089273656	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	true
234525553	1492089285614	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@7a7612da))
234525554	1492089285620	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4eb59f66))
234525555	1492089285620	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@7897e66b))
234525556	1492089285620	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@1acf638))
234525557	1492089285620	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4b86c415))
234525558	1492089285620	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@29aa2cac))
234525559	1492089285621	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@6ec9334c))
234525560	1492089285621	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@832059b))
234525578	1492089285874	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	ArrayBuffer(BlockManagerId(driver, 172.16.181.46, 37472, None))
234525579	1492089286089	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	true
234525586	1492089286782	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@e77a5b3))
234525591	1492089286883	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@58ad4c07))
234525594	1492089286938	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@1e70b629))
234525596	1492089286954	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4140610e))
234525599	1492089287049	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@72a90ea8))
234525600	1492089287065	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4056a98e))
234525603	1492089287148	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@1906dc2d))
234525605	1492089287183	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@23604deb))
234525608	1492089287196	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@560f9ad0))
234525609	1492089287209	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@694ee854))
234525610	1492089287258	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@6728a4ca))
234525614	1492089287424	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4d5b6be5))
234525616	1492089287426	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@53c93652))
234525620	1492089287501	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@208b0b49))
234525622	1492089287536	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@2a7e566))
234525624	1492089287550	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@14b5b294))
234525625	1492089287560	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@ed47df6))
234525626	1492089287561	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@76fdfe26))
234525631	1492089287675	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4bcca94a))
234525633	1492089287683	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@72d483b5))
234525643	1492089287797	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@5fc26bd4))
234525645	1492089287889	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4657b2c4))
234525646	1492089287890	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@687fc5bd))
234525650	1492089287973	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@3ee03a2c))
234525653	1492089288039	sparkDriver	172.16.181.46	46507	sparkExecutor	172.16.189.65	54570	RequestMessage(172.16.181.46:46507,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@72b07aef))
