id	time	type
a8146e20-00ae-4291-b35f-ed0435380333	1492087362857	JVMStart()
a8146e20-00ae-4291-b35f-ed0435380333	1492087363089	MainStart()
a8146e20-00ae-4291-b35f-ed0435380333	1492087376150	DagScheduler(ExecutorAdded(1,localhost.localdomain))
a8146e20-00ae-4291-b35f-ed0435380333	1492087377727	DagScheduler(ExecutorAdded(2,localhost.localdomain))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383022	DagScheduler(JobSubmitted(0,MapPartitionsRDD[1] at map at <console>:28,<function2>,[I@3be87ef0,CallSite(reduce at <console>:32,org.apache.spark.rdd.RDD.reduce(RDD.scala:1007)
a8146e20-00ae-4291-b35f-ed0435380333	1492087383357	SubmitTaskSet(0.0)
a8146e20-00ae-4291-b35f-ed0435380333	1492087383389	DagScheduler(BeginEvent(ResultTask(0, 0),org.apache.spark.scheduler.TaskInfo@16862ec1))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383392	DagScheduler(BeginEvent(ResultTask(0, 1),org.apache.spark.scheduler.TaskInfo@4d5507b2))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383829	DagScheduler(BeginEvent(ResultTask(0, 2),org.apache.spark.scheduler.TaskInfo@2319e03c))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383831	DagScheduler(BeginEvent(ResultTask(0, 3),org.apache.spark.scheduler.TaskInfo@800e46a))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383852	DagScheduler(CompletionEvent(ResultTask(0, 1),Success,Some(78593),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 367), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 219576307), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 35), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 33635833), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1929), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 26), CollectionAccumulator(id: 10, name: Some(internal.metrics.updatedBlockStatuses), value: [(broadcast_0_piece0,BlockStatus(StorageLevel(memory, 1 replicas),1177,0)), (broadcast_0,BlockStatus(StorageLevel(memory, deserialized, 1 replicas),1856,0))])),org.apache.spark.scheduler.TaskInfo@4d5507b2))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383867	DagScheduler(BeginEvent(ResultTask(0, 4),org.apache.spark.scheduler.TaskInfo@19e9919e))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383868	DagScheduler(CompletionEvent(ResultTask(0, 0),Success,Some(78406),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 370), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 224614749), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 30), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 30026900), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1929), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 40), CollectionAccumulator(id: 10, name: Some(internal.metrics.updatedBlockStatuses), value: [(broadcast_0_piece0,BlockStatus(StorageLevel(memory, 1 replicas),1177,0)), (broadcast_0,BlockStatus(StorageLevel(memory, deserialized, 1 replicas),1856,0))])),org.apache.spark.scheduler.TaskInfo@16862ec1))
