id	time	src_name	src_addr	src_port	dst_name	dst_addr	dst_port	type
2825933376	1492087372883	sparkYarnAM	10.50.108.70	56740	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(YarnScheduler))
2825933377	1492087373000	sparkYarnAM	10.50.108.70	56740	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://YarnScheduler@10.50.108.70:43844),RegisterClusterManager(NettyRpcEndpointRef(null)))
2825933378	1492087373007	sparkYarnAM	10.50.108.70	56740	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://YarnScheduler@10.50.108.70:43844),AddWebUIFilter(org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter,Map(PROXY_HOSTS -> localhost.localdomain, PROXY_URI_BASES -> http://localhost.localdomain:8088/proxy/application_1491395956263_0024),/proxy/application_1491395956263_0024))
2825933379	1492087373206	sparkYarnAM	10.50.108.70	56740	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://YarnScheduler@10.50.108.70:43844),RetrieveLastAllocatedExecutorId)
2726171291	1492087375750	driverPropsFetcher	10.50.108.70	56748	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(CoarseGrainedScheduler))
2726171292	1492087375873	driverPropsFetcher	10.50.108.70	56748	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@10.50.108.70:43844),RetrieveSparkAppConfig)
3405677936	1492087375923	sparkExecutor	10.50.108.70	56750	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(MapOutputTracker))
3405677937	1492087375967	sparkExecutor	10.50.108.70	56750	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(BlockManagerMaster))
3405677938	1492087376117	sparkExecutor	10.50.108.70	56750	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(OutputCommitCoordinator))
3405677939	1492087376130	sparkExecutor	10.50.108.70	56750	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(CoarseGrainedScheduler))
3405677940	1492087376136	sparkExecutor	10.50.108.70	56750	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@10.50.108.70:43844),RegisterExecutor(1,NettyRpcEndpointRef(null),localhost.localdomain,1,Map(stdout -> http://localhost.localdomain:8042/node/containerlogs/container_1491395956263_0024_01_000002/matt/stdout?start=-4096, stderr -> http://localhost.localdomain:8042/node/containerlogs/container_1491395956263_0024_01_000002/matt/stderr?start=-4096)))
3405677941	1492087376180	sparkExecutor	10.50.108.70	56750	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://BlockManagerMaster@10.50.108.70:43844),RegisterBlockManager(BlockManagerId(1, localhost.localdomain, 45523, None),384093388,NettyRpcEndpointRef(null)))
3405677942	1492087376195	sparkExecutor	10.50.108.70	56750	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(HeartbeatReceiver))
2363135847	1492087377353	driverPropsFetcher	10.50.108.70	56754	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(CoarseGrainedScheduler))
2363135848	1492087377468	driverPropsFetcher	10.50.108.70	56754	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@10.50.108.70:43844),RetrieveSparkAppConfig)
3957638355	1492087377506	sparkExecutor	10.50.108.70	56756	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(MapOutputTracker))
3957638356	1492087377552	sparkExecutor	10.50.108.70	56756	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(BlockManagerMaster))
3957638357	1492087377704	sparkExecutor	10.50.108.70	56756	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(OutputCommitCoordinator))
3957638358	1492087377716	sparkExecutor	10.50.108.70	56756	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://endpoint-verifier@10.50.108.70:43844),CheckExistence(CoarseGrainedScheduler))
3957638359	1492087377721	sparkExecutor	10.50.108.70	56756	sparkDriver	10.50.108.70	43844	RequestMessage(null,NettyRpcEndpointRef(spark://CoarseGrainedScheduler@10.50.108.70:43844),RegisterExecutor(2,NettyRpcEndpointRef(null),localhost.localdomain,1,Map(stdout -> http://localhost.localdomain:8042/node/containerlogs/container_1491395956263_0024_01_000003/matt/stdout?start=-4096, stderr -> http://localhost.localdomain:8042/node/containerlogs/container_1491395956263_0024_01_000003/matt/stderr?start=-4096)))
