id	time	src_name	src_addr	src_port	dst_name	dst_addr	dst_port	type
54903080	1492087377421	sparkDriver	10.50.108.70	43844	driverPropsFetcher	10.50.108.70	56754	true
54903081	1492087377470	sparkDriver	10.50.108.70	43844	driverPropsFetcher	10.50.108.70	56754	SparkAppConfig(ArrayBuffer((spark.driver.port,43844), (spark.driver.host,10.50.108.70), (spark.executor.id,driver), (spark.worker.ui.port,5010), (spark.driver.appUIAddress,http://10.50.108.70:4040), (spark.master,yarn), (spark.repl.class.outputDir,/tmp/spark-4992f67e-b4be-4e26-9fce-2298e57bc700/repl-2f32c4a7-fa65-4a9e-b53f-18840b7174ef), (spark.app.name,Spark shell), (spark.master.ui.port,5010), (spark.sql.catalogImplementation,hive), (spark.repl.class.uri,spark://10.50.108.70:43844/classes), (spark.jars,), (spark.home,/home/matt/code/spark-tracing), (spark.submit.deployMode,client)),None)
54903082	1492087377514	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	true
54903083	1492087377553	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	true
54903084	1492087377705	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	true
54903085	1492087377717	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	true
54903086	1492087377725	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),RegisteredExecutor)
54903087	1492087377726	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	true
54903088	1492087377762	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	BlockManagerId(2, localhost.localdomain, 45434, None)
54903089	1492087377780	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	true
54903091	1492087383397	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@172d7e74))
54903092	1492087383509	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	ArrayBuffer(BlockManagerId(driver, 10.50.108.70, 46707, None))
54903095	1492087383597	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	true
54903097	1492087383831	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@1b80116e))
54903098	1492087383868	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@2e10a4e4))
54903101	1492087383909	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@52b2b18c))
54903103	1492087383937	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@280bc318))
54903104	1492087383958	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@339bac16))
54903106	1492087383982	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@18870905))
54903109	1492087384023	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@299bfeac))
54903110	1492087384045	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@470e0c95))
54903112	1492087384063	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@6761fa50))
54903113	1492087384089	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),LaunchTask(org.apache.spark.util.SerializableBuffer@4f1d1741))
54903115	1492087384490	sparkDriver	10.50.108.70	43844	sparkExecutor	10.50.108.70	56756	RequestMessage(10.50.108.70:43844,NettyRpcEndpointRef(null),StopExecutor)
